"Financial Year","Return Type","Name","Creditor Name","Address Line 1","Address Line 2","Suburb","State","Postcode","Amount owed","Financial or Non-financial institution"
"2019-20","Political Campaigner Return","Australian Education Union ","Australian Taxation Office","GPO Box 9990","","Sydney","NSW","2001","308906","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","Bank Australia","Private Bag 12","","KEW","VIC","3101","6596010","Financial"
"2019-20","Political Campaigner Return","Australian Education Union ","BBC Digital","PO Box 2311","","KENT TOWN","SA","5071","67059","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","BGL Partners","Suite 5, 240 Bay Street","","BRIGHTON","VIC","3186","25025","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","Commonwealth Superannuation Corporation","7 London Circuit","","CANBERRA","ACT","2601","40418","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","Department of Education ","Locked Bag 7013","","BATHURST","NSW","2795","47551","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","Edgewise Insurance Brokers Pty Ltd","PO Box 3003","","BURNLEY","VIC","3121","32890","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","Generation-E Productivity Solutions","580 Church Street","","RICHMOND","VIC","3121","21909","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","Holding Redlich","GPO Box 2154","","MELBOURNE","VIC","3001","17757","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","Huon Curtis","57 Calder Road","","DARLINGTON","NSW","2008","22000","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","National Australia Bank","GPO Box 9845","","Melbourne","VIC","3000","17827","Financial"
"2019-20","Political Campaigner Return","Australian Education Union ","Office of State Revenue","Locked Bag 978","","NORTH SYDNEY","NSW","2060","26145","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","Sharepoint Gurus","Suite 13, 39 Phillip Street","","Newton","NSW","2042","17600","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","State Revenue Office of Victoria","121 Exhibition street","","Melbourne","VIC","3000","73507","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","Statewide Superannuation Clearing House","211 Victoria Square","","ADELAIDE","SA","5000","74792","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","Sunsuper Clearing House","GPO Box 2924","","BRISBANE","QLD","4001","147905","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","Svenson Barristers","205 Williams Street","","MELBOURNE","VIC","3000","29343","Non-financial"
"2019-20","Political Party Return","Australian Greens","ACT Greens","GPO Box 2019","","Canberra","ACT","2601","33135","Non-financial"
"2019-20","Political Party Return","Australian Greens","Asia Pacific Greens Federation","2/97 Northbourne Avenue","","Turner","ACT","2612","22874","Non-financial"
"2019-20","Political Party Return","Australian Greens","ATO","GPO Box 9990","","Canberra","ACT","2601","48704","Non-financial"
"2019-20","Political Party Return","Australian Greens","Greens WA","PO Box 3022","","Perth","WA","6832","16810","Non-financial"
"2019-20","Political Party Return","Australian Greens","NSW Greens","GPO Box 1220","","Sydney","NSW","2001","33799","Non-financial"
"2019-20","Political Party Return","Australian Greens","Tasmanian Greens","GPO Box 1132","","Hobart","TAS","7001","33318","Non-financial"
"2019-20","Political Party Return","Australian Greens","Victorian Greens","GPO Box 4589","","Melbourne","VIC","3001","41891","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (ACT Branch)","1973 Foundation Pty Ltd","GPO BOX 3065","","Canberra ","ACT","2601","600000","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (ALP)","Dentsu X Australia Pty Ltd","105 York St","","South Melbourne","VIC","3205","586719","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (ALP)","Intercharge","PO Box 47","","Epping","NSW","1710","49290","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (ALP)","John Curtin House Limited","5/9 Sydney Ave","","Barton","ACT","2600","1225956","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (ALP)","Westpac","275 Kent Street","","Sydney","NSW","2000","1000000","Financial"
"2019-20","Political Party Return","Australian Labor Party (N.S.W. Branch)","ATO","LOCKED BAG 1793","","PENRITH","NSW","1793","45630","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (N.S.W. Branch)","ATO","LOCKED BAG 1793","","PENRITH","NSW","1793","11649","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (N.S.W. Branch)","COUNTRY LABOR PARTY","Level 9, 377 Sussex Street","","Sydney","NSW","2000","66400","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (N.S.W. Branch)","COUNTRY LABOR PARTY","Level 9, 377 Sussex Street","","Sydney","NSW","2000","6255","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (N.S.W. Branch)","COUNTRY LABOR PARTY","Level 9, 377 Sussex Street","","Sydney","NSW","2000","10363","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (N.S.W. Branch)","COUNTRY LABOR PARTY","Level 9, 377 Sussex Street","","Sydney","NSW","2000","2870","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (N.S.W. Branch)","CUSHMAN & WAKEFIELD","Level 22, 1 O'Connell Street","","Sydney","NSW","2000","7194","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (N.S.W. Branch)","CUSHMAN & WAKEFIELD","Level 22, 1 O'Connell Street","","Sydney","NSW","2000","7194","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (N.S.W. Branch)","HLB MANN JUDD","Level 19, 207 KENT STREET","","Sydney","NSW","2000","1475","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (N.S.W. Branch)","HLB MANN JUDD","Level 19, 207 KENT STREET","","Sydney","NSW","2000","16500","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (N.S.W. Branch)","HLB MANN JUDD","Level 19, 207 KENT STREET","","Sydney","NSW","2000","2695","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (N.S.W. Branch)","Johnson Winter & Slattery","Level 25 20 Bond Street","","Sydney","NSW","2000","4118","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (N.S.W. Branch)","Johnson Winter & Slattery","Level 25 20 Bond Street","","Sydney","NSW","2000","234","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (N.S.W. Branch)","Johnson Winter & Slattery","Level 25 20 Bond Street","","Sydney","NSW","2000","9952","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (N.S.W. Branch)","NOISEBOX TECHNOLOGIES","400 VICTORIA ROAD","","RYDALMERE","NSW","2116","26541","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (N.S.W. Branch)","Shane Anthony Easson","42/8 Norman Street","","Darlinghurst","NSW","2010","44000","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (Northern Territory) Branch","Campaign Edge","PO Box 3798","","SOUTH BRISBANE","QLD","4101","65803","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (Northern Territory) Branch","Westpac Banking Corporation","The Mall, 24 Smith Street","","Darwin","NT","0800","135000","Financial"
"2019-20","Political Party Return","Australian Labor Party (Northern Territory) Branch","Zip Print","PO Box 41761","","CASUARINA","NT","0811","36987","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (State of Queensland)","Anacta Strategies Pty Ltd","GPO Box 1349","","Brisbane","QLD","4001","7150","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (State of Queensland)","Equifax Australasia Workforce Solutions Pty Ltd","PO Box 967","","North Sydney","NSW","2059","1663","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (State of Queensland)","Fuji Xerox Australia Pty Ltd","Locked Bag 2051","","North Ryde","NSW","2113","3119","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (State of Queensland)","General Outdoor Advertising Pty Ltd","143 Abbotsford Road","","Bowen Hills","QLD","4006","5610","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (State of Queensland)","JAM Outdoor","2 Maria Street","","Bundaberg","QLD","4670","1210","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (State of Queensland)","Justice Services Pty Ltd","1/300 Queen Street","","Brisbane City","QLD","4000","12173","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (State of Queensland)","Kaitech Computing Services Pty Ltd","8 Fernberg Road","","Paddington","QLD","4064","1734","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (State of Queensland)","Kate Luke Designs","7 Salandra Street","","Mansfield","QLD","4122","7678","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (State of Queensland)","Mazars (Qld) Pty Limited","GPO Box 2268","","Brisbane","QLD","4001","2629","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (State of Queensland)","Optimum Media Direction Pty Ltd","PO Box 66","","Pyrmont","NSW","2009","19995","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (State of Queensland)","Poll Printing Limited","Ground Floor, 27 Peel Street","","South Brisbane","QLD","4101","51852","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (State of Queensland)","Poll Printing Limited","Ground Floor, 27 Peel Street","","South Brisbane","QLD","4101","1245","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (State of Queensland)","The Australian Labor Party National Secretariat","PO Box 6222","","Kingston","ACT","2604","10566","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (State of Queensland)","Toneone Pty Ltd","PO Box 166","","Kedron","QLD","4031","1443","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (State of Queensland)","YouGov Galaxy Pty Ltd","Ground Floor, 2-14 Mountain Street","","Ultimo","NSW","2007","24200","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (Victorian Branch)","Australian Taxation Office","747 Collins St","","Docklands","VIC","3008","65007","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (Victorian Branch)","Labor Services & Holdings Pty Ltd ATF Labor Services & Holdings Trust","Locked Bag 3240","","Melbourne","VIC","3001","78121","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (Western Australian Branch)","Anwyl Hardwired","116 Palmerston St","","PERTH","WA","6000","20575","Non-financial"
"2019-20","Political Party Return","Australian Labor Party (Western Australian Branch)","Australian Taxation Office","Locked Bag 1936","","ALBURY","NSW","1936","62205","Non-financial"
"2019-20","Associated Entity Return","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","AUS-IT Services Pty Ltd","43-49 Sandgate Road","","ALBION","QLD","4010","26381","Non-financial"
"2019-20","Associated Entity Return","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","Australian Taxation Office","GPO Box 9990","","BRISBANE","QLD","4001","219677","Non-financial"
"2019-20","Associated Entity Return","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","AustralianSuper","GPO BOX 1901","","MELBOURNE","VIC","3001","160968","Financial"
"2019-20","Associated Entity Return","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","Diners Club International","GPO Box 520","","SYDNEY","NSW","2001","24747","Non-financial"
"2019-20","Associated Entity Return","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","Estate Debra Pearson","125 Booyong Drive","","MOUNT SHERIDAN","QLD","4868","55206","Non-financial"
"2019-20","Associated Entity Return","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","Maurice Blackburn Lawyers","Level 8, 179 North Quay","","BRISBANE CITY","QLD","4000","41986","Non-financial"
"2019-20","Associated Entity Return","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","Optimum Media Direction Pty Ltd","PO BOX 66","","PYRMONT","NSW","2009","54618","Non-financial"
"2019-20","Associated Entity Return","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","uCommunications Pty Ltd","Level 5, 365 Queen Street","","MELBOURNE","VIC","3000","19800","Non-financial"
"2019-20","Associated Entity Return","Australian Municipal, Administrative, Clerical and Services Union - Queensland (Services and Northern Administrative) Branch","Australian Taxation Office","Locked Bag 1793","","Penrith","NSW","1793","97800","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian College of Nursing","1 Napier Close","","DEAKIN WEST","ACT","2600","66120","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Nursing Federation, Industrial Union of Workers Perth","260 Pier Street","","PERTH","WA","6000","94753","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Taxation Office","Locked Bag 1936","","ALBURY","NSW","2640","215693","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Taxation Office","GPO Box 9990","","CANBERRA","ACT","2600","26308","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Taxation Office","2-12 Macquarie Street","","PARRAMATTA","NSW","2123","773667","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Taxation Office","26 Narellan Street","","CANBERRA","ACT","2601","58181","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Taxation Office","GPO Box 9990","","ADELAIDE","SA","5001","38026","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Taxation Office","GPO Box 9990","","HOBART","TAS","7000","99085","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Taxation Office","GPO Box 9990","","HOBART","TAS","7000","88256","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","CSG Business Solutions Pty Ltd","PO Box 3796","","SOUTH BRISBANE","QLD","4101","22656","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Frontier Software Pty Ltd","18 Little Collins Street","","MELBOURNE","VIC","3000","24721","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Gordon Legal","535 Elizabeth Street","","MELBOURNE","VIC","3000","17042","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","HESTA","Ground Floor, 119 Macquarie St","","HOBART","TAS","7000","54290","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","HESTA - Clearing House","2 Lonsdale Street","","MELBOURNE","VIC","3000","35004","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Lysander","22 Ash Grove","","MALVERN EAST","VIC","3145","17600","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Saward Dawson","Level 1, 20 Albert Street","","BLACKBURN","VIC","3130","16500","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Saward Dawson","Level 1, 20 Albert Street","","BLACKBURN","VIC","3130","17100","Non-financial"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Telstra","GPO Box 9901","","MELBOURNE","VIC","8108","14881","Non-financial"
"2019-20","Associated Entity Return","Australian Rail Tram & Bus Industry Union, Queensland Branch","Australian Labor Party Queensland","16 Peel Street","","SOUTH BRISBANE","QLD","4101","15437","Non-financial"
"2019-20","Associated Entity Return","Australian Rail Tram & Bus Industry Union, Queensland Branch","Australian Tax Office","PO Box 9004","","PENRITH","NSW","2750","116274","Non-financial"
"2019-20","Associated Entity Return","Australian Rail Tram & Bus Industry Union, Queensland Branch","Quick Super Clearing House","GPO Box 1901","","MELBOURNE","VIC","3001","37049","Non-financial"
"2019-20","Associated Entity Return","Australian Rail Tram & Bus Industry Union, Queensland Branch","RTBU National Office","83-89 Renwick Street","","REDFERN","NSW","2016","50225","Non-financial"
"2019-20","Associated Entity Return","Australian Rail Tram & Bus Union (Victorian Branch)","AUSTRALIAN RAIL TRAM AND BUS INDUSTRY UNION NATIONAL OFFICE","L2 TRADES HALL","UNIT4-10 GOULBURN STREET","HAYMARKET","NSW","2000","122743","Non-financial"
"2019-20","Associated Entity Return","Australian Rail Tram & Bus Union (Victorian Branch)","AUSTRALIAN TAXATION OFFICE","GPO BOX 9990","","SYDNEY","NSW","2001","66334","Non-financial"
"2019-20","Associated Entity Return","Australian Rail Tram & Bus Union (Victorian Branch)","GORDON LEGAL","L22/181 WILLIAM STREET","","MELBOURNE","VIC","3000","35541","Non-financial"
"2019-20","Associated Entity Return","Australian Rail Tram and Bus Industry Union New South Wales Branch","Australian Rail Tram and Bus Union - National Office","Suite 10 Level 2 Trades Hall","4-10 Goulburn Street","SYDNEY","NSW","2000","107122","Non-financial"
"2019-20","Associated Entity Return","Australian Rail Tram and Bus Industry Union New South Wales Branch","Australian Taxation Office","Locked Bag 1793","","PENRITH PLAZA","NSW","2750","242195","Non-financial"
"2019-20","Associated Entity Return","Australian Rail Tram and Bus Industry Union New South Wales Branch","Essential Media Communications","PO Box 242","","CARLTON SOUTH","VIC","3053","25674","Non-financial"
"2019-20","Associated Entity Return","Australian Rail Tram and Bus Industry Union Western Australian Branch","RTBU Sydney","Trades Hall, 4 Goulburn Street, Sydney NSW 2000.","","HAYMARKET","NSW","2000","229000","Non-financial"
"2019-20","Associated Entity Return","Australian Services Union - Victorian & Tasmanian Authorities & Services Branch","Cititec Systems","8/58 Mahoneys Rd","","THOMASTOWN","VIC","3074","26566","Non-financial"
"2019-20","Associated Entity Return","Australian Services Union - Victorian & Tasmanian Authorities & Services Branch","Maurice Blackburn","21/380 La Trobe St,","","MELBOURNE","VIC","3000","27808","Non-financial"
"2019-20","Associated Entity Return","Australian Services Union of NSW & ACT (Services) Branch","Australian Taxation Office","GPO Box 9845","","REDFERN","NSW","2016","118281","Non-financial"
"2019-20","Associated Entity Return","Australian Services Union of NSW & ACT (Services) Branch","Australian Taxation Office","GPO Box 9845","","REDFERN","NSW","2016","90400","Non-financial"
"2019-20","Associated Entity Return","Australian Services Union SA - NT Branch","ASU National Office","116 Queensberry Street","","CARLTON SOUTH","VIC","3053","43103","Non-financial"
"2019-20","Associated Entity Return","Australian Services Union SA - NT Branch","Australian Tax Office","Locked Bag 1936","","ALBURY","NSW","2640","38706","Non-financial"
"2019-20","Associated Entity Return","Australian Workers Union SA Branch","Australian Superannuation","GPO Box 1901","","MELBOURNE","VIC","3001","14005","Non-financial"
"2019-20","Associated Entity Return","Australian Workers Union SA Branch","Australian Tax Office (BAS)","GPO Box 9990","","ADELAIDE","SA","5001","66469","Non-financial"
"2019-20","Associated Entity Return","Australian Workers Union SA Branch","Australian Tax Office (PAYG)","GPO Box 9990","","ADELAIDE","SA","5001","24430","Non-financial"
"2019-20","Associated Entity Return","Australian Workers Union WA Branch","Australian Taxation Office","GPO Box 9990","","Perth","WA","6000","65004","Non-financial"
"2019-20","Associated Entity Return","Australian Workers Union WA Branch","AWU National Office","Level 1","16-20 Good Street","Granville","NSW","2142","36284","Non-financial"
"2019-20","Associated Entity Return","Australian Workers Union WA Branch","AWU National Office","Level 1","16-20 Good Street","Granville","NSW","2142","40205","Non-financial"
"2019-20","Associated Entity Return","Australian Workers Union WA Branch","AWU National Office","Level 1","16-20 Good Street","Granville","NSW","2142","31303","Non-financial"
"2019-20","Associated Entity Return","Australian Workers Union WA Branch","AWU National Office","Level 1","16-20 Good Street","Granville","NSW","2142","17464","Non-financial"
"2019-20","Associated Entity Return","Australian Workers Union WA Branch","AWU National Office","Level 1","16-20 Good Street","Granville","NSW","2142","29791","Non-financial"
