"Event","Media ID","Name","Business Name","Return Type","Address Line 1","Address Line 2","Suburb","State","Postcode","Total Amount"
"2004 Federal Election","5081","107.3FM Magic","Tasmanian Radio Network","Broadcaster","GPO Box 1800","","HOBART GPO","TAS","7001","8128"
"2004 Federal Election","4530","107.7 Sea FM Devenport","Tasmanian Broadcaster Pty Ltd","Broadcaster","PO Box 1800","","HOBART GPO","TAS","7001","3370"
"2004 Federal Election","4843","107.9 Life Fm 5RAM","Christian Radio Inc","Broadcaster","PO Box 1079","","NORTH ADELAIDE","SA","5006","0"
"2004 Federal Election","4532","1080 6IX (Perth Radio)","Radio Perth Pty Ltd","Broadcaster","Level 1, 169 Hay Street","","EAST PERTH","WA","6004","7407"
"2004 Federal Election","5240","1080 AM","Tas Radio Pty Ltd","Broadcaster","GPO Box 572","","HOBART GPO","TAS","7001","2105"
"2004 Federal Election","4526","1098 7LA","Tasmanian Radio Network","Broadcaster","PO Box 1800","","HOBART GPO","TAS","7001","21950"
"2004 Federal Election","4090","1116 AM","West Coast Radio Pty Ltd","Broadcaster","141 Mandurah Tce","","MANDURAH","WA","6210","11683"
"2004 Federal Election","4160","1188 2NZ","Northern Broadcasters Pty Ltd","Broadcaster","PO Box 770","","INVERELL","NSW","2360","3238"
"2004 Federal Election","5216","1242 3GV","Ace Radio Broadcasters Pty Ltd","Broadcaster","PO Box 1242","","TRARALGON","VIC","3844","12449"
"2004 Federal Election","4363","1278 3AW","3AW Southern Cross Radio Pty Ltd","Broadcaster","43-49 Bank Street","","SOUTH MELBOURNE","VIC","3205","87846"
"2004 Federal Election","4164","1287 2TM","Tamworth Radio Development Co Pty Ltd","Broadcaster","PO Box 497","","TAMWORTH","NSW","2340","5162"
"2004 Federal Election","4127","1332 3SH","Ace RAdio Broadcasters Pty Ltd - 3SH AM1332","Broadcaster","PO Box 504","","SWAN HILL","VIC","3585","4345"
"2004 Federal Election","5019","1332 4BU","Bundaberg Broadcasters Pty Ltd","Broadcaster","PO Box 1059","","BUNDABERG","QLD","4670","11571"
"2004 Federal Election","4265","1350 2LF","Radio 2LF Pty Ltd","Broadcaster","PO Box 31","","YOUNG","NSW","2594","3432"
"2004 Federal Election","4498","1449 2MG","Mudgee Broadcasting Company Pty Ltd","Broadcaster","PO Box 17","","MUDGEE","NSW","2850","1850"
"2004 Federal Election","4465","1503 2BS Gold","Bathurst Broadcasters Pty Ltd","Broadcaster","PO Box 310","","BATHURST","NSW","2795","3073"
"2004 Federal Election","4505","1521 2QN","Rich Rivers Radio Pty Ltd","Broadcaster","PO Box 312","","DENILIQUIN","NSW","2710","2409"
"2004 Federal Election","4426","1CBR - Mix106.3","Canberra FM Radio Pty Ltd","Broadcaster","PO Box 106","","DICKSON","ACT","2602","24726"
"2004 Federal Election","5235","1VFM","Valley FM Broadcasters Association Inc","Broadcaster","PO Box 112","","ERINDALE CENTRE","ACT","2903","0"
"2004 Federal Election","4805","1WAY FM","Canberra Christian Radio Limited","Broadcaster","PO Box 927","","FYSHWICK","ACT","2609","105"
"2004 Federal Election","5153","2 ROC","Campbelltown Radio Pty Ltd","Broadcaster","PO Box 8800","","SOUTH COAST MAIL CENTRE","NSW","2521","21007"
"2004 Federal Election","4132","2AD","New England Broadcasters Pty Ltd","Broadcaster","PO Box 270","","ARMIDALE","NSW","2350","3325"
"2004 Federal Election","4402","2AIR FM","Holiday Coast Community Radio Inc","Broadcaster","PO Box 2028","","COFFS HARBOUR","NSW","2450","0"
"2004 Federal Election","5227","2BAY FM","Bay FM Community Radio Incorporated","Broadcaster","PO Box 440","","BYRON BAY","NSW","2481","2502"
"2004 Federal Election","4358","2BDR","Goulburn & Border Broadcasters Pty Ltd","Broadcaster","PO Box 1260","","SHEPPARTON","VIC","3630","4695"
"2004 Federal Election","4441","2BH","Radio Outback Pty Ltd","Broadcaster","PO Box 699","","BROKEN HILL","NSW","2880","1115"
"2004 Federal Election","4342","2BOB - 104.5","Manning Media Cooperative","Broadcaster","PO Box 400","","TAREE","NSW","2430","0"
"2004 Federal Election","5095","2BRW","Braidwood FM Incc","Broadcaster","PO Box 230","","BRAIDWOOD","NSW","2622","0"
"2004 Federal Election","4421","2CA","Radio Canberra Pty Ltd t/a Radio 2CA","Broadcaster","PO Box 1053","","MITCHELL","ACT","2911","17770"
"2004 Federal Election","4339","2CBA (FM 103.2)","Christian Broadcasting Association Ltd","Broadcaster","Locked Bag 1032","","SEVEN HILLS","NSW","2147","0"
"2004 Federal Election","5278","2CBD","Deepwater and Districts Community FM","Broadcaster","27 Young St","","DEEPWATER","NSW","2371","0"
"2004 Federal Election","4420","2CC","Radio Canberra Pty Ltd t/a Radio 2CC","Broadcaster","PO Box 1206","","MITCHELL","ACT","2911","19910"
"2004 Federal Election","4259","2CH","Radio 2CH Pty Ltd","Broadcaster","GPO Box 4290","","SYDNEY GPO PRIVATE BOXES","NSW","2001","13599"
"2004 Federal Election","4889","2CHR FM","CHR FM","Broadcaster","PO Box 421","","CESSNOCK","NSW","2325","0"
"2004 Federal Election","5316","2CS","Commercial Radio Coffs Harbour","Broadcaster","PO Box 1234","","COFFS HARBOUR","NSW","2450","5082"
"2004 Federal Election","5293","2CUZFM","Muda Aboriginal Corporation","Broadcaster","PO Box 363","","BOURKE","NSW","2840","0"
"2004 Federal Election","4085","2CVC","Clarence Valley Christian Broadcasters Inc.","Broadcaster","PO Box 115","","GRAFTON","NSW","2460","110"
"2004 Federal Election","4429","2DU","Western Broadcasters Pty Ltd","Broadcaster","PO Box 1221","","DUBBO","NSW","2830","1847"
"2004 Federal Election","5196","2EZY","Lithgow Community Broadcasters Inc","Broadcaster","PO Box 527","","LITHGOW","NSW","2790","0"
"2004 Federal Election","4258","2GB","Harbour Radio Pty Ltd","Broadcaster","GPO Box 4290","","SYDNEY GPO PRIVATE BOXES","NSW","2001","46014"
"2004 Federal Election","4230","2GF","2GF Radio Pty Ltd","Broadcaster","PO Box 276","","GRAFTON","NSW","2460","12743"
"2004 Federal Election","5294","2GGG","2MO Gunnedah Pty Ltd","Broadcaster","PO Box 62","","GUNNEDAH","NSW","2380","1440"
"2004 Federal Election","5122","2GLF- 89.3 FM","Liverpool Green Valley Community Radio Co-operative","Broadcaster","PO Box 19","","CASULA","NSW","2170","0"
"2004 Federal Election","5051","2GN","Radio Goulburn Pty Ltd","Broadcaster","PO Box 115","","GOULBURN","NSW","2580","13880"
"2004 Federal Election","5143","2GO 107.7","Central Coast Radio Pty Ltd","Broadcaster","49 Henry Parry Drive","","GOSFORD","NSW","2250","89231"
"2004 Federal Election","5224","2HayFM 92.1","Hay Community Radio Inc","Broadcaster","PO Box 309","","HAY","NSW","2711","308"
"2004 Federal Election","4576","2HD 1143","2HD Broadcasters Pty Ltd","Broadcaster","Box 19","","HUNTER REGION MAIL CENTRE","NSW","2310","36369"
"2004 Federal Election","4443","2HIM","Peel Valley Christian Broadcasters Inc","Broadcaster","PO Box 1527","","TAMWORTH","NSW","2340","0"
"2004 Federal Election","4813","2HOT FM","Cobar Community Radio","Broadcaster","PO Box 330","","COBAR","NSW","2835","0"
"2004 Federal Election","4117","2LM","Richmond River Broadcasters Pty Ltd","Broadcaster","PO Box 44","","LISMORE","NSW","2480","21661"
"2004 Federal Election","4096","2LRR","Lightning Ridge Community Radio Inc.","Broadcaster","PO Box 1781","","LIGHTNING RIDGE","NSW","2834","0"
"2004 Federal Election","4291","2LT","Midwest Radio Ltd","Broadcaster","PO Mail Bag 90","","LITHGOW","NSW","2790","5703"
"2004 Federal Election","5274","2LVR (97.9 Valley FM)","Lachlan Valley Community Radio Inc","Broadcaster","PO Box 586","","FORBES","NSW","2871","0"
"2004 Federal Election","4352","2MC FM","Mid Coast Broadcasters Pty Ltd","Broadcaster","PO Box 1161","","PORT MACQUARIE","NSW","2444","12563"
"2004 Federal Election","4815","2MCR 100.3FM","2MCR 100.3 FM","Broadcaster","PO Box 1420","","CAMPBELLTOWN","NSW","2560","275"
"2004 Federal Election","5297","2MFM","Muslim Community Radio Incorporated","Broadcaster","PO Box 969","","BANKSTOWN","NSW","1885","0"
"2004 Federal Election","5236","2MIA FM","Griffith Community FM Ass","Broadcaster","PO Box 2122","","GRIFFITH","NSW","2680","0"
"2004 Federal Election","4379","2MN","Radio 97AM: Tweed Radio & Broadcasting Co Pty Ltd","Broadcaster","8 Greenway Drive","","TWEED HEADS SOUTH","NSW","2486","58529"
"2004 Federal Election","4315","2MO","2MO Gunnedah Pty Ltd","Broadcaster","PO Box 62","","GUNNEDAH","NSW","2380","1440"
"2004 Federal Election","4304","2NCR FM","North Coast Radio Inc","Broadcaster","PO Box 5123","","LISMORE EAST","NSW","2480","0"
"2004 Federal Election","5089","2NIM","Nimbin Independent Media","Broadcaster","PO Box 522","","NIMBIN","NSW","2480","0"
"2004 Federal Election","4818","2NM","Radio Hunter Valley Pty Ltd","Broadcaster","PO Box 600","","MUSWELLBROOK","NSW","2333","2310"
"2004 Federal Election","4561","2NOW FM","Moree Broadcasting & Development Co Pty Ltd","Broadcaster","PO Box 389","","MOREE","NSW","2400","3555"
"2004 Federal Election","4819","2NSB FM99.3","Northside Broacasting Co-operative","Broadcaster","PO Box 468","","CHATSWOOD","NSW","2067","0"
"2004 Federal Election","4270","2OCB","Orange Community Broadcasters Inc","Broadcaster","PO Box 1031","","ORANGE","NSW","2800","0"
"2004 Federal Election","4494","2OOO","Multicultrual Community Radio Assoc Ltd","Broadcaster","2/25 Belmore St","","BURWOOD","NSW","2134","4180"
"2004 Federal Election","5336","2PAR","Paradise FM Community Radio Association Inc","Broadcaster","PO Box 612","","BALLINA","NSW","2478","3237"
"2004 Federal Election","5112","2PCR","Wyone- Gosford Progressive Community Radio Inc","Broadcaster","PO Box 1056","","GOSFORD","NSW","2250","0"
"2004 Federal Election","4449","2PK","Parkes Broadcasting Co Pty Ltd","Broadcaster","PO Box 295","","PARKES","NSW","2870","3511"
"2004 Federal Election","5083","2RDJ-FM","RDJ-FM Community Radio Co-op Ltd","Broadcaster","PO Box 1088","","BURWOOD NORTH","NSW","2134","0"
"2004 Federal Election","4114","2RE","Manning Valley Broadcasting Pty Ltd","Broadcaster","PO Box 275","","TAREE","NSW","2430","26338"
"2004 Federal Election","5272","2REM- Ten 73 Border AM Albury- Wodonga","Community Radio Cooperative","Broadcaster","Garland Ave","","NORTH ALBURY","NSW","2640","0"
"2004 Federal Election","4485","2RGF (99.7 Star FM)","Radio 2RG Pty Ltd","Broadcaster","PO Box 1005","","GRIFFITH","NSW","2680","3087"
"2004 Federal Election","4428","2ROC - FM104.7","Canberra FM Radio","Broadcaster","PO Box 106","","DICKSON","ACT","2602","20622"
"2004 Federal Election","5040","2ROK","Parkes Broadcasting","Broadcaster","PO Box 295","","PARKES","NSW","2870","2512"
"2004 Federal Election","4821","2RRR","Ryde Regional Radio Cooperative Ltd","Broadcaster","PO Box 644","","GLADESVILLE","NSW","2111","0"
"2004 Federal Election","5166","2SCR","Two State Community Radio Inc","Broadcaster","PO Box 891","","BARHAM","NSW","2732","0"
"2004 Federal Election","5152","2SM","Radio 2SM Pty Ltd","Broadcaster","PO Box 97","","COOLANGATTA","QLD","4225","5060"
"2004 Federal Election","4564","2SSR FM","Sutherland Shire Community Radio Association Inc","Broadcaster","PO Box 997","","SUTHERLAND","NSW","1499","0"
"2004 Federal Election","4554","2ST","South Coast & Tablelands Broadcasting","Broadcaster","Locked Bag 3010","","NOWRA","NSW","2541","10589"
"2004 Federal Election","5096","2TEN FM","Tenterfield and District Community FM Radio Association Inc","Broadcaster","PO Box 93","","TENTERFIELD","NSW","2372","306"
"2004 Federal Election","5059","2UNE","Tune FM/ UNE Students Association","Broadcaster","University of New England","","ARMIDALE","NSW","2350","0"
"2004 Federal Election","5119","2UUL","Wave FM","Broadcaster","PO Box 474","","WARRAWONG","NSW","2502","14555"
"2004 Federal Election","4560","2VM","Moree Broadcasting & Development Co Pty Ltd","Broadcaster","PO Box 389","","MOREE","NSW","2400","2442"
"2004 Federal Election","4401","2WAY-FM","Hastings Community FM Radio Assoc Inc","Broadcaster","PO Box 603","","WAUCHOPE","NSW","2446","240"
"2004 Federal Election","5255","2WCE-FM","Charles Sturt University","Broadcaster","Panorama Ave","","BATHURST","NSW","2795","0"
"2004 Federal Election","4350","2WEB","2WREB Co-op Ltd","Broadcaster","PO Box 426","","BOURKE","NSW","2840","150"
"2004 Federal Election","4905","2WET","Macleay Valley Community Radio","Broadcaster","PO Box 200","","WEST KEMPSEY","NSW","2440","0"
"2004 Federal Election","4524","2WG","Riverina Broadcasters (Holdings) Pty Ltd","Broadcaster","PO Box 480","","WAGGA WAGGA","NSW","2650","3447"
"2004 Federal Election","5212","2WIN","Win Radio Pty Ltd","Broadcaster","Locked Bag 8800","","SOUTH COAST MAIL CENTRE","NSW","2521","17168"
"2004 Federal Election","4555","2WSK","South Coast & Tablelands Broadcasting","Broadcaster","Locked Bag 3010","","NOWRA","NSW","2541","7995"
"2004 Federal Election","5279","2WZD","Riverina Broadcasters (Holdings) Pty Ltd","Broadcaster","PO Box 480","","WAGGA WAGGA","NSW","2650","4152"
"2004 Federal Election","4413","2XL","Radio Snowy Moutains Pty Ltd t/a Radio 2XL","Broadcaster","PO Box 651","","COOMA","NSW","2630","12298"
"2004 Federal Election","5335","2YAS","Yass Community Radio Inc","Broadcaster","PO Box 51","","YASS","NSW","2582","110"
"2004 Federal Election","4314","2YOU FM","Tamworth Broadcasting Society Inc","Broadcaster","PO Box 998","","TAMWORTH","NSW","2340","660"
"2004 Federal Election","4083","3 CAT (K-Rock 95.5)","Geelong Broadcastes Pty Ltd","Broadcaster","3/83 Moorabool Street","","GEELONG","VIC","3220","11728"
"2004 Federal Election","1400","3 Joy","Joy Melbourne Independent Community Broadcasters","Broadcaster","PO Box 907","","SOUTH MELBOURNE","VIC","3205","152"
"2004 Federal Election","5291","3 Kool & Deadly","South Eastern Indigenous Media Association","Broadcaster","149 Plenty Road","","PRESTON","VIC","3072","0"
"2004 Federal Election","5169","3 One FM","Goulburn Valley Community Radio Inc","Broadcaster","PO Box 4034","","SHEPPARTON PRIVATE BOXES","VIC","3632","440"
"2004 Federal Election","1402","3BAY (BAY FM)","Bay FM Pty Ltd","Broadcaster","Level 3 83 Moorabool St","","GEELONG","VIC","3220","12265"
"2004 Federal Election","5123","3BBR","West Gippsland Community Radio Inc","Broadcaster","PO Box 995","","DROUIN","VIC","3818","0"
"2004 Federal Election","5114","3BGR","Ballarat Gospel Radio INc","Broadcaster","PO Box 51","","WENDOUREE","VIC","3355","0"
"2004 Federal Election","4252","3BO FM","Radio 3BO Pty Ltd","Broadcaster","PO Box 108","","GOLDEN SQUARE","VIC","3555","12255"
"2004 Federal Election","5259","3CCS","Ace Radio Broadcasters","Broadcaster","PO Box 63","","COLAC","VIC","3250","1248"
"2004 Federal Election","5158","3CR 855am","Community Radio Federation Ltd","Broadcaster","21-23 Smith Street","","FITZROY","VIC","3065","0"
"2004 Federal Election","5258","3CS","Ace Radio Broadcasters","Broadcaster","PO Box 63","","COLAC","VIC","3250","3063"
"2004 Federal Election","4828","3DIY Radio (3MR)","Monash University Union Radio Inc","Broadcaster","Building 10","","MONASH UNIVERSITY","VIC","3168","0"
"2004 Federal Election","5275","3GCB- Life FM","Life FM","Broadcaster","Po Box 1378","","SALE","VIC","3850","0"
"2004 Federal Election","4111","3HA","Ace Radio Broadcasters","Broadcaster","61 Brown Street","","HAMILTON","VIC","3300","1837"
"2004 Federal Election","4827","3MBR FM","Mallee Community + Educational Broadcasters Co-op Ltd","Broadcaster","Box 139","","MURRAYVILLE","VIC","3512","0"
"2004 Federal Election","4260","3MCR 99.7","Mansfield Community Radio Inc","Broadcaster","PO Box 667","","MANSFIELD PRIVATE BOXES","VIC","3724","0"
"2004 Federal Election","5125","3MDA (99.5 Star FM)","Radio 3MA Pty Ltd","Broadcaster","PO Box 539","","MILDURA PRIVATE BOXES","VIC","3502","3960"
"2004 Federal Election","5307","3MP","Victorian Radio Network","Broadcaster","473 Swan Street","","RICHMOND","VIC","3121","7182"
"2004 Federal Election","4538","3NE","North East Broadcasters","Broadcaster","19 Templeton St","","WANGARATTA","VIC","3677","4157"
"2004 Federal Election","5228","3PVR","Plenty Valley Community Radio","Broadcaster","PO Box 587","","GREENSBOROUGH","VIC","3088","0"
"2004 Federal Election","5271","3REG","Radio East Gippsland Inc","Broadcaster","Po Box 603","","LAKES ENTRANCE","VIC","3909","0"
"2004 Federal Election","5105","3RG","Rete Italia","Broadcaster","582 Nicholson Street","","FITZROY NORTH","VIC","3068","3740"
"2004 Federal Election","5124","3RMR (3MA97.9)","Radio 3MA Pty Ltd","Broadcaster","PO Box 539","","MILDURA PRIVATE BOXES","VIC","3502","3960"
"2004 Federal Election","4484","3RPC FM 99.3 FM","3RPC Incorporated","Broadcaster","PO Box 450","","PORTLAND","VIC","3305","0"
"2004 Federal Election","4829","3RPP","Radio Port Phillip Association","Broadcaster","PO Box 602","","SOMERVILLE","VIC","3912","0"
"2004 Federal Election","4269","3RUM - Radio Upper Murray","Upper Murray Community Radio","Broadcaster","Main Street","","WALWA","VIC","3709","0"
"2004 Federal Election","5120","3SFM","Swan Hill Community Radio Inc","Broadcaster","PO Box 998","","SWAN HILL","VIC","3585","220"
"2004 Federal Election","5151","3SR Shepparton (1260 AM)","3UZ Pty Ltd","Broadcaster","PO Box 927","","CARLTON SOUTH","VIC","3053","0"
"2004 Federal Election","4357","3SRR","Goulburn & Border Broadcasters Pty Ltd","Broadcaster","PO Box 1260 MDC","","SHEPPARTON PRIVATE BOXES","VIC","3632","15432"
"2004 Federal Election","5204","3SSR FM","Swinburne Student Radio Inc","Broadcaster","PO Box 390","","HAWTHORN","VIC","3122","0"
"2004 Federal Election","4355","3SUN","Goulburn & Border Broadcasters Pty Ltd","Broadcaster","PO Box 1260 MDC","","SHEPPARTON","VIC","3630","21088"
"2004 Federal Election","5163","3TSC","Triple Seven Communications Inc","Broadcaster","Po Box 899","","MONT ALBERT","VIC","3127","0"
"2004 Federal Election","4831","3UGE","Upper Goulburn Community Radio Inc","Broadcaster","PO Box 177","","ALEXANDRA","VIC","3714","0"
"2004 Federal Election","4520","3UZ (Sport 927)","3UZ Pty Ltd","Broadcaster","PO Box 927","","CARLTON SOUTH","VIC","3053","0"
"2004 Federal Election","5266","3VYV","Yarra Valley Fm 99.1","Broadcaster","PO Box 991","","WOORI YALLOCK","VIC","3139","0"
"2004 Federal Election","4537","3WAY FM","Community Radio Endeavour Warrnambool Inc","Broadcaster","PO Box 752","","WARRNAMBOOL","VIC","3280","0"
"2004 Federal Election","5161","3WBC","Whitehorse Beroondara Fm Community Radio Inc","Broadcaster","PO Box 159","","BOX HILL NORTH","VIC","3129","0"
"2004 Federal Election","4327","3WM","Ace Radio Broadcasters","Broadcaster","PO Box 606","","HORSHAM","VIC","3400","6303"
"2004 Federal Election","4289","3WRB - Stereo 974","Western Radio Broadcasters Inc","Broadcaster","PO Box 217","","SUNSHINE","VIC","3020","0"
"2004 Federal Election","5198","3XY Greek Radio","Greek Broadcasters P/L","Broadcaster","Level 1/1c Bell Street","","PRESTON","VIC","3072","0"
"2004 Federal Election","4113","3YB","Ace Radio Broadcasters","Broadcaster","PO Box 485","","WARRNAMBOOL","VIC","3280","1507"
"2004 Federal Election","5201","3YBF (Coast FM)","Ace Radio Broadcasters","Broadcaster","PO Box 485","","WARRNAMBOOL","VIC","3280","1023"
"2004 Federal Election","5276","3YYR","94.7 The Pulse","Broadcaster","PO Box 1276","","GEELONG","VIC","3220","4600"
"2004 Federal Election","5024","4AA","AMI Radio Pty Ltd","Broadcaster","PO Box 88","","ORANGE","NSW","2800","3223"
"2004 Federal Election","4222","4AK","Radio 4AK Pty Ltd","Broadcaster","PO Box 403","","TOOWOOMBA","QLD","4350","0"
"2004 Federal Election","4324","4BAY","Bayside Community Radio Association Inc","Broadcaster","PO Box 1003","","CLEVELAND","QLD","4163","1265"
"2004 Federal Election","747","4BC","Radio 4BC Brisbane Pty Ltd","Broadcaster","PO Box 10116","Adelaide Street","BRISBANE","QLD","4000","57169"
"2004 Federal Election","4834","4BCR","Coral Coast Community Radio 94.7FM","Broadcaster","PO Box 2678","","BUNDABERG","QLD","4670","0"
"2004 Federal Election","5029","4BH","Queensland Radio 2000 Pty Ltd","Broadcaster","PO Box 10116","","BRISBANE ADELAIDE STREET","QLD","4000","14046"
"2004 Federal Election","5109","4BI T/A Radio 1197AM","Brisbane Interactive Radion Group Inc","Broadcaster","PO Box 1073","","FORTITUDE VALLEY","QLD","4006","0"
"2004 Federal Election","4861","4BRR- Burnett River Radio","Central Burnett Community Radio Inc","Broadcaster","PO Box 915","","GAYNDAH","QLD","4625","50"
"2004 Federal Election","4086","4CBL","Radio Logan Inc.","Broadcaster","PO Box 2101","","LOGAN CITY DC","QLD","4114","0"
"2004 Federal Election","4835","4CCC","Warwick Community FM Radio Assoc Inc","Broadcaster","PO Box 473","","WARWICK","QLD","4370","150"
"2004 Federal Election","5192","4CCR","Cairns FM 89.1","Broadcaster","PO Box 891","","MANUNDA","QLD","4870","0"
"2004 Federal Election","4877","4CLG","Sunshine Coast Christian Broadcasters Assn Inc","Broadcaster","PO Box 200","","WOOMBYE","QLD","4559","0"
"2004 Federal Election","5230","4CRB 89.3FM","Kalwun Development Corporation Ltd","Broadcaster","PO Box 2123","","NERANG","QLD","4211","0"
"2004 Federal Election","5060","4CRB FM","Gold Coast Christian and Community Broadcasting Ass","Broadcaster","PO Box 86","","BURLEIGH HEADS","QLD","4220","2970"
"2004 Federal Election","4081","4CRM 107.5FM","Community Radio Association Mackay Inc.","Broadcaster","PO Box 1075","","MACKAY","QLD","4740","0"
"2004 Federal Election","4836","4CSB","Community Radio Of Wondai Ass Inc","Broadcaster","PO Box 171","","WONDAI","QLD","4606","0"
"2004 Federal Election","5064","4DDB FM 102.7","Darling Downs Broadcasting Society Inc","Broadcaster","PO Box 400","","TOOWOOMBA","QLD","4350","434"
"2004 Federal Election","4092","4EL","AM 846 Easy Listening Cairns","Broadcaster","PO Box 6110","","CAIRNS","QLD","4870","8053"
"2004 Federal Election","4286","4FCR","Fraser Coast Community Radio Inc","Broadcaster","PO Box 393","","HERVEY BAY","QLD","4655","0"
"2004 Federal Election","4481","4GR","Darling Downs Radio Centre","Broadcaster","PO Box 111","","TOOWOOMBA","QLD","4350","384517"
"2004 Federal Election","5041","4GY","Gympie Noosa Broadcasters Pty Ltd","Broadcaster","PO Box 42","","GYMPIE","QLD","4570","4587"
"2004 Federal Election","5218","4K16 FM Too Deadly","Townsville Aboriginal & Islander Media Association","Broadcaster","PO Box 4583","","TOWNSVILLE","QLD","4810","22"
"2004 Federal Election","5069","4KQ","ARN Communications Pty Ltd","Broadcaster","PO Box 693","","COORPAROO","QLD","4151","34689"
"2004 Federal Election","4541","4KRY (CFM 89.1)","Forsby Pty Ltd","Broadcaster","PO Box 305","","KINGAROY","QLD","4610","3801"
"2004 Federal Election","4536","4KZ","Coastal Broadcasters Pty Ltd","Broadcaster","PO Box 19","","INNISFAIL","QLD","4860","7378"
"2004 Federal Election","5244","4LG","Radio Outback Pty Ltd","Broadcaster","PO Box 20","","LONGREACH","QLD","4730","1292"
"2004 Federal Election","5245","4LRE","Radio Outback Pty LTd","Broadcaster","PO Box 20","","LONGREACH","QLD","4730","462"
"2004 Federal Election","1405","4MBS Classic FM","Music Broadcasting Society of Queensland Ltd","Broadcaster","384 Old Cleveland Road","","COORPAROO","QLD","4151","0"
"2004 Federal Election","5342","4MIG","Mt Isa Christian Broadcasters","Broadcaster","PO Box 1186","","MOUNT ISA","QLD","4825","0"
"2004 Federal Election","5101","4MK FM","Barrier Reef Broadcasting Pty Ltd","Broadcaster","PO Box 183","","MACKAY","QLD","4740","816"
"2004 Federal Election","4388","4MMM","Triple M Brisbane","Broadcaster","GPO Box 1041","","BRISBANE GPO PRIVATE BOXES","QLD","4001","42984"
"2004 Federal Election","5042","4NNN (96.1 FM The Heat)","Noosa FM Pty Ltd","Broadcaster","PO Box 187","","NOOSA HEADS","QLD","4567","6938"
"2004 Federal Election","5098","4NSA","Noosa District Community FM Radion Association Inc","Broadcaster","PO Box 103","","TEWANTIN","QLD","4565","0"
"2004 Federal Election","4152","4RED","99FM Community Radio Association Inc","Broadcaster","PO Box 139","","REDCLIFFE","QLD","4020","0"
