"Event","Media ID","Name","Business Name","Return Type","Advertiser","Advertiser Type","Date Run","Amount"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Liberal Party of Australia, NSW Division","Party","02/10/2004","3524"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Liberal Party of Australia, NSW Division","Party","03/10/2004","1174"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Liberal Party of Australia, NSW Division","Party","03/10/2004","7636"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Liberal Party of Australia, NSW Division","Party","04/10/2004","2349"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Liberal Party of Australia, NSW Division","Party","04/10/2004","5286"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Liberal Party of Australia, NSW Division","Party","05/10/2004","4494"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Liberal Party of Australia, NSW Division","Party","05/10/2004","5286"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Liberal Party of Australia, NSW Division","Party","06/10/2004","4494"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Liberal Party of Australia, NSW Division","Party","06/10/2004","5286"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","The Greens NSW","Party","29/09/2004","1346"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","The Greens NSW","Party","30/09/2004","1346"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","The Greens NSW","Party","01/10/2004","1346"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","The Greens NSW","Party","02/10/2004","1346"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","The Greens NSW","Party","03/10/2004","1346"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","The Greens NSW","Party","04/10/2004","1346"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","The Greens NSW","Party","05/10/2004","1346"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","The Greens NSW","Party","06/10/2004","1346"
"2004 Federal Election","5071","104.1 Top FM","","Broadcaster","Australian Labor Party (Northern Territory) Branch","Party","27/09/2004","440"
"2004 Federal Election","5071","104.1 Top FM","","Broadcaster","Australian Labor Party (Northern Territory) Branch","Party","27/09/2004","440"
"2004 Federal Election","5071","104.1 Top FM","","Broadcaster","Australian Labor Party (Northern Territory) Branch","Party","27/09/2004","440"
"2004 Federal Election","5071","104.1 Top FM","","Broadcaster","Australian Labor Party (Northern Territory) Branch","Party","01/10/2004","247"
"2004 Federal Election","5071","104.1 Top FM","","Broadcaster","Australian Labor Party (Northern Territory) Branch","Party","01/10/2004","495"
"2004 Federal Election","5071","104.1 Top FM","","Broadcaster","Country Labor Party","Party","04/06/2004","275"
"2004 Federal Election","5071","104.1 Top FM","","Broadcaster","Country Labor Party","Party","23/09/2004","1650"
"2004 Federal Election","5071","104.1 Top FM","","Broadcaster","Country Labor Party","Party","23/09/2004","1650"
"2004 Federal Election","5071","104.1 Top FM","","Broadcaster","Country Labor Party","Party","04/10/2004","275"
"2004 Federal Election","5071","104.1 Top FM","","Broadcaster","Country Labor Party","Party","04/10/2004","275"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","21/09/2004","2785"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","22/09/2004","2758"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","23/09/2004","2785"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","27/09/2004","0"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","28/09/2004","2785"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","29/09/2004","2785"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","30/09/2004","2785"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","01/10/2004","0"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","03/10/2004","3713"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","04/10/2004","3713"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","05/10/2004","3713"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","06/10/2004","3713"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Liberal Party of Australia, NSW Division","Party","29/09/2004","2653"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Liberal Party of Australia, NSW Division","Party","30/09/2004","4422"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Liberal Party of Australia, NSW Division","Party","01/10/2004","6633"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Liberal Party of Australia, NSW Division","Party","02/10/2004","884"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Liberal Party of Australia, NSW Division","Party","02/10/2004","4864"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Liberal Party of Australia, NSW Division","Party","03/10/2004","884"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Liberal Party of Australia, NSW Division","Party","03/10/2004","6190"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Liberal Party of Australia, NSW Division","Party","04/10/2004","1768"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Liberal Party of Australia, NSW Division","Party","04/10/2004","4422"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Liberal Party of Australia, NSW Division","Party","05/10/2004","1768"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Liberal Party of Australia, NSW Division","Party","05/10/2004","6633"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Liberal Party of Australia, NSW Division","Party","06/10/2004","1768"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","Liberal Party of Australia, NSW Division","Party","06/10/2004","6633"
"2004 Federal Election","4176","105.1 2GZ FM - Orange","Macquarie Regional Radioworks Pty Ltd","Broadcaster","ANDREN, Peter James","Candidate","30/09/2004","663"
"2004 Federal Election","4176","105.1 2GZ FM - Orange","Macquarie Regional Radioworks Pty Ltd","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","28/09/2004","759"
"2004 Federal Election","4176","105.1 2GZ FM - Orange","Macquarie Regional Radioworks Pty Ltd","Broadcaster","National Party of Australia - N.S.W.","Party","30/09/2004","2479"
"2004 Federal Election","4176","105.1 2GZ FM - Orange","Macquarie Regional Radioworks Pty Ltd","Broadcaster","UNGER, Paul Thomas","Candidate","30/09/2004","385"
"2004 Federal Election","5237","107.3 FM","Tas Radio Pty Ltd","Broadcaster","Australian Labor Party (Tasmanian Branch)","Party","02/10/2004","1452"
"2004 Federal Election","5237","107.3 FM","Tas Radio Pty Ltd","Broadcaster","Forest Industries Association of Tasmania","Third Party","05/10/2004","103"
"2004 Federal Election","5237","107.3 FM","Tas Radio Pty Ltd","Broadcaster","Liberal Party of Australia - Tasmanian Division","Party","04/10/2004","123"
"2004 Federal Election","5164","107.3 Life FM","Christian Air Broadcasters","Broadcaster","Family First Party","Party","01/08/2004","0"
"2004 Federal Election","5164","107.3 Life FM","Christian Air Broadcasters","Broadcaster","Liberal Party of Australia - Queensland Division","Party","01/08/2004","550"
"2004 Federal Election","5081","107.3FM Magic","Tasmanian Radio Network","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","03/10/2004","2464"
"2004 Federal Election","5081","107.3FM Magic","Tasmanian Radio Network","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","04/10/2004","1694"
"2004 Federal Election","5081","107.3FM Magic","Tasmanian Radio Network","Broadcaster","Forest Industries Association of Tasmania","Third Party","04/10/2004","1836"
"2004 Federal Election","5081","107.3FM Magic","Tasmanian Radio Network","Broadcaster","Liberal Party of Australia - Tasmanian Division","Party","02/10/2004","2002"
"2004 Federal Election","5081","107.3FM Magic","Tasmanian Radio Network","Broadcaster","UNGER, Paul Thomas","Candidate","04/10/2004","132"
"2004 Federal Election","4530","107.7 Sea FM Devenport","Tasmanian Broadcaster Pty Ltd","Broadcaster","Australian Labor Party (Tasmanian Branch)","Party","28/09/2004","600"
"2004 Federal Election","4530","107.7 Sea FM Devenport","Tasmanian Broadcaster Pty Ltd","Broadcaster","Australian Labor Party (Tasmanian Branch)","Party","30/09/2004","1108"
"2004 Federal Election","4530","107.7 Sea FM Devenport","Tasmanian Broadcaster Pty Ltd","Broadcaster","Australian Labor Party (Tasmanian Branch)","Party","05/10/2004","677"
"2004 Federal Election","4530","107.7 Sea FM Devenport","Tasmanian Broadcaster Pty Ltd","Broadcaster","Australian Labor Party (Tasmanian Branch)","Party","06/10/2004","985"
"2004 Federal Election","4532","1080 6IX (Perth Radio)","Radio Perth Pty Ltd","Broadcaster","Australian Democrats","Party","29/09/2004","1100"
"2004 Federal Election","4532","1080 6IX (Perth Radio)","Radio Perth Pty Ltd","Broadcaster","Australian Labor Party (Western Australian Branch)","Party","19/09/2004","1069"
"2004 Federal Election","4532","1080 6IX (Perth Radio)","Radio Perth Pty Ltd","Broadcaster","Australian Labor Party (Western Australian Branch)","Party","19/09/2004","2019"
"2004 Federal Election","4532","1080 6IX (Perth Radio)","Radio Perth Pty Ltd","Broadcaster","Liberal Party (W.A. Division) Inc.","Party","26/09/2004","686"
"2004 Federal Election","4532","1080 6IX (Perth Radio)","Radio Perth Pty Ltd","Broadcaster","Liberal Party (W.A. Division) Inc.","Party","26/09/2004","897"
"2004 Federal Election","4532","1080 6IX (Perth Radio)","Radio Perth Pty Ltd","Broadcaster","Liberal Party (W.A. Division) Inc.","Party","03/10/2004","739"
"2004 Federal Election","4532","1080 6IX (Perth Radio)","Radio Perth Pty Ltd","Broadcaster","Liberal Party (W.A. Division) Inc.","Party","03/10/2004","897"
"2004 Federal Election","5240","1080 AM","Tas Radio Pty Ltd","Broadcaster","Australian Labor Party (Tasmanian Branch)","Party","02/10/2004","1452"
"2004 Federal Election","5240","1080 AM","Tas Radio Pty Ltd","Broadcaster","Australian Labor Party (Tasmanian Branch)","Party","05/10/2004","653"
"2004 Federal Election","4526","1098 7LA","Tasmanian Radio Network","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","21/09/2004","1900"
"2004 Federal Election","4526","1098 7LA","Tasmanian Radio Network","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","24/09/2004","633"
"2004 Federal Election","4526","1098 7LA","Tasmanian Radio Network","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","01/10/2004","633"
"2004 Federal Election","4526","1098 7LA","Tasmanian Radio Network","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","03/10/2004","1689"
"2004 Federal Election","4526","1098 7LA","Tasmanian Radio Network","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","05/10/2004","1161"
"2004 Federal Election","4526","1098 7LA","Tasmanian Radio Network","Broadcaster","Australian Labor Party (Tasmanian Branch)","Party","31/08/2004","9636"
"2004 Federal Election","4526","1098 7LA","Tasmanian Radio Network","Broadcaster","Australian Labor Party (Tasmanian Branch)","Party","29/09/2004","615"
"2004 Federal Election","4526","1098 7LA","Tasmanian Radio Network","Broadcaster","Forest Industries Association of Tasmania","Third Party","05/10/2004","864"
"2004 Federal Election","4526","1098 7LA","Tasmanian Radio Network","Broadcaster","Liberal Party of Australia - Tasmanian Division","Party","27/09/2004","4464"
"2004 Federal Election","4526","1098 7LA","Tasmanian Radio Network","Broadcaster","UNGER, Paul Thomas","Candidate","30/09/2004","355"
"2004 Federal Election","4090","1116 AM","West Coast Radio Pty Ltd","Broadcaster","Australian Labor Party (Western Australian Branch)","Party","15/09/2004","3135"
"2004 Federal Election","4090","1116 AM","West Coast Radio Pty Ltd","Broadcaster","Australian Labor Party (Western Australian Branch)","Party","01/10/2004","330"
"2004 Federal Election","4090","1116 AM","West Coast Radio Pty Ltd","Broadcaster","DODD, Margaret Elizabeth","Candidate","24/09/2004","330"
"2004 Federal Election","4090","1116 AM","West Coast Radio Pty Ltd","Broadcaster","KETTLE, Gerard Majella","Candidate","27/09/2004","660"
"2004 Federal Election","4090","1116 AM","West Coast Radio Pty Ltd","Broadcaster","Liberal Party (W.A. Division) Inc.","Party","14/09/2004","6600"
"2004 Federal Election","4090","1116 AM","West Coast Radio Pty Ltd","Broadcaster","Liberal Party of Australia - ACT Division","Party","02/10/2004","320"
"2004 Federal Election","4090","1116 AM","West Coast Radio Pty Ltd","Broadcaster","UNGER, Paul Thomas","Candidate","01/10/2004","132"
"2004 Federal Election","4090","1116 AM","West Coast Radio Pty Ltd","Broadcaster","UNGER, Paul Thomas","Candidate","01/10/2004","176"
"2004 Federal Election","4160","1188 2NZ","Northern Broadcasters Pty Ltd","Broadcaster","Liberal Party of Australia, NSW Division","Party","05/10/2004","161"
"2004 Federal Election","4160","1188 2NZ","Northern Broadcasters Pty Ltd","Broadcaster","National Party of Australia - N.S.W.","Party","27/09/2004","1536"
"2004 Federal Election","4160","1188 2NZ","Northern Broadcasters Pty Ltd","Broadcaster","National Party of Australia - N.S.W.","Party","29/09/2004","75"
"2004 Federal Election","4160","1188 2NZ","Northern Broadcasters Pty Ltd","Broadcaster","National Party of Australia - N.S.W.","Party","02/10/2004","506"
"2004 Federal Election","4160","1188 2NZ","Northern Broadcasters Pty Ltd","Broadcaster","WINDSOR, Antony Harold","Candidate","28/09/2004","960"
"2004 Federal Election","5216","1242 3GV","Ace Radio Broadcasters Pty Ltd","Broadcaster","Australian Labor Party (Victorian Branch)","Party","21/09/2004","2316"
"2004 Federal Election","5216","1242 3GV","Ace Radio Broadcasters Pty Ltd","Broadcaster","Australian Labor Party (Victorian Branch)","Party","24/09/2004","772"
"2004 Federal Election","5216","1242 3GV","Ace Radio Broadcasters Pty Ltd","Broadcaster","Australian Labor Party (Victorian Branch)","Party","01/10/2004","772"
"2004 Federal Election","5216","1242 3GV","Ace Radio Broadcasters Pty Ltd","Broadcaster","Australian Labor Party (Victorian Branch)","Party","03/10/2004","1415"
"2004 Federal Election","5216","1242 3GV","Ace Radio Broadcasters Pty Ltd","Broadcaster","Australian Labor Party (Victorian Branch)","Party","03/10/2004","2059"
"2004 Federal Election","5216","1242 3GV","Ace Radio Broadcasters Pty Ltd","Broadcaster","National Tertiary Education Union","Third Party","13/09/2004","2145"
"2004 Federal Election","5216","1242 3GV","Ace Radio Broadcasters Pty Ltd","Broadcaster","Victorian Trades Hall Council","Third Party","13/09/2004","2970"
"2004 Federal Election","4363","1278 3AW","3AW Southern Cross Radio Pty Ltd","Broadcaster","Australian Labor Party (State of Queensland)","Party","21/09/2004","48620"
"2004 Federal Election","4363","1278 3AW","3AW Southern Cross Radio Pty Ltd","Broadcaster","Liberal Party of Australia (Victorian Division)","Party","02/10/2004","21714"
"2004 Federal Election","4363","1278 3AW","3AW Southern Cross Radio Pty Ltd","Broadcaster","Liberal Party of Australia (Victorian Division)","Party","04/10/2004","17512"
"2004 Federal Election","4164","1287 2TM","Tamworth Radio Development Co Pty Ltd","Broadcaster","National Party of Australia - N.S.W.","Party","27/09/2004","1984"
"2004 Federal Election","4164","1287 2TM","Tamworth Radio Development Co Pty Ltd","Broadcaster","National Party of Australia - N.S.W.","Party","29/09/2004","396"
"2004 Federal Election","4164","1287 2TM","Tamworth Radio Development Co Pty Ltd","Broadcaster","National Party of Australia (Queensland)","Party","02/10/2004","922"
"2004 Federal Election","4164","1287 2TM","Tamworth Radio Development Co Pty Ltd","Broadcaster","WINDSOR, Antony Harold","Candidate","27/09/2004","1860"
"2004 Federal Election","4127","1332 3SH","Ace RAdio Broadcasters Pty Ltd - 3SH AM1332","Broadcaster","National Party of Australia (Queensland)","Party","09/09/2004","3960"
"2004 Federal Election","4127","1332 3SH","Ace RAdio Broadcasters Pty Ltd - 3SH AM1332","Broadcaster","UNGER, Paul Thomas","Candidate","27/09/2004","33"
"2004 Federal Election","4127","1332 3SH","Ace RAdio Broadcasters Pty Ltd - 3SH AM1332","Broadcaster","UNGER, Paul Thomas","Candidate","27/09/2004","132"
"2004 Federal Election","4127","1332 3SH","Ace RAdio Broadcasters Pty Ltd - 3SH AM1332","Broadcaster","UNGER, Paul Thomas","Candidate","30/09/2004","220"
"2004 Federal Election","5019","1332 4BU","Bundaberg Broadcasters Pty Ltd","Broadcaster","Australian Labor Party (ALP)","Party","19/09/2004","448"
"2004 Federal Election","5019","1332 4BU","Bundaberg Broadcasters Pty Ltd","Broadcaster","Australian Labor Party (ALP)","Party","19/09/2004","673"
"2004 Federal Election","5019","1332 4BU","Bundaberg Broadcasters Pty Ltd","Broadcaster","Australian Labor Party (ALP)","Party","26/09/2004","448"
"2004 Federal Election","5019","1332 4BU","Bundaberg Broadcasters Pty Ltd","Broadcaster","Australian Labor Party (ALP)","Party","26/09/2004","673"
"2004 Federal Election","5019","1332 4BU","Bundaberg Broadcasters Pty Ltd","Broadcaster","Australian Labor Party (ALP)","Party","26/09/2004","1720"
"2004 Federal Election","5019","1332 4BU","Bundaberg Broadcasters Pty Ltd","Broadcaster","Australian Labor Party (ALP)","Party","03/10/2004","897"
