"Event","Return Type (Candidate/Senate Group)","Name","Party ID","Party Name","Electorate Name","Electorate State","Nil Return","Amendment No","Total Gift Value","Number Of Donors","Total Electoral Expenditure","Discretionary Benefits Received"
"2019 Federal election","Candidate","ADDINK, Carmela Josephine","38662","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","Swan","WA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ADRELIUS, Per Helge","38662","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","Groom","QLD","N","0","1980","10","4082","0"
"2019 Federal election","Candidate","AHMED, Mubahil","38623","United Australia Party","Bruce","VIC","N","0","4500","1","2850","0"
"2019 Federal election","Candidate","ALBANESE, Anthony Norman","50","Australian Labor Party (N.S.W. Branch)","Grayndler","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ALBARRI, Yassin Akram","","Independent","Scullin","VIC","N","0","0","0","3600","0"
"2019 Federal election","Candidate","ALDRIDGE, Mark Marshall","38670","The Great Australian Party","South Australia","SA","N","0","0","0","2500","0"
"2019 Federal election","Candidate","ALEXANDER, John Gilbert","46","Liberal Party of Australia, NSW Division","Bennelong","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ALLAN, Shane Anthony","38662","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","Braddon","TAS","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ALLEN, Katrina Jane","43","Liberal Party of Australia (Victorian Division)","Higgins","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ALLWOOD, Sean Philip","188","Australian Citizens Party","South Australia","SA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ALY, Anne","53","Australian Labor Party (Western Australian Branch)","Cowan","WA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ANDERSON, Chad Clark","","Independent","Leichhardt","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ANDERSON, David Barrett","38662","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","Bowman","QLD","N","0","0","0","4000","0"
"2019 Federal election","Candidate","ANDREWS, Karen Lesley","211","Liberal National Party of Queensland","McPherson","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ANDREWS, Kevin James","43","Liberal Party of Australia (Victorian Division)","Menzies","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ANDREWS, Peter James","38662","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","Rankin","QLD","N","0","0","0","2450","0"
"2019 Federal election","Candidate","ANGEL, Joylene Pearl","27917","Sustainable Australia Party - Stop Overdevelopment / Corruption","Australian Capital Territory","ACT","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ANGUS, Joshua James","37","National Party of Australia - N.S.W.","Hunter","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ANNING, William Fraser","38662","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","Queensland","QLD","N","0","0","2","0","0"
"2019 Federal election","Candidate","ANTIC, Alexander Charles","44","Liberal Party of Australia (S.A. Division)","South Australia","SA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ARCHER, Bridget Kathleen","36","Liberal Party of Australia - Tasmanian Division","Bass","TAS","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ARCHIBALD, David Colin","38662","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","Western Australia","WA","N","0","25000","1","21590","0"
"2019 Federal election","Candidate","ARMSTRONG, Steven Roy","27917","Sustainable Australia Party - Stop Overdevelopment / Corruption","Macnamara","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ARTHUR, Luke Andrew","34701","The Australian Greens - Victoria","Chisholm","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ASHBY, Jo-Anne Jacka","38662","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","Leichhardt","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ASHMOR, Kate","43","Liberal Party of Australia (Victorian Division)","Macnamara","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ASHRAF, Mohammed Nadeem","38623","United Australia Party","Blaxland","NSW","N","0","4500","1","4100","0"
"2019 Federal election","Candidate","ATKINS, Damien Angus","97","The Greens NSW","Greenway","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ATLEE, Christopher James","46","Liberal Party of Australia, NSW Division","Cunningham","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","AUGUST, John Peter","30356","Pirate Party Australia","New South Wales","NSW","N","0","0","0","1545","0"
"2019 Federal election","Candidate","AUSTIN, Stephen Frank","38623","United Australia Party","Dickson","QLD","N","0","1500","1","0","0"
"2019 Federal election","Candidate","AUSTRALIE, Sinim Barbara","","Independent","Fairfax","QLD","N","0","8445","1","8445","0"
"2019 Federal election","Candidate","AYOUB, Jack","50","Australian Labor Party (N.S.W. Branch)","Parkes","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","AYRES, Timothy","50","Australian Labor Party (N.S.W. Branch)","New South Wales","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","AYTON, Philip John","187","Online Direct Democracy - (Empowering the People!)","Victoria","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BACHER, Rupert","38623","United Australia Party","Barker","SA","N","0","4500","1","0","0"
"2019 Federal election","Candidate","BAILEY, Kevin Christopher","37341","Australian Conservatives","Victoria","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BAIN, Peter Timothy","43","Liberal Party of Australia (Victorian Division)","Fraser","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BAKER, Esther Susanne","154","Pauline Hanson's One Nation","La Trobe","VIC","N","0","0","0","5294","0"
"2019 Federal election","Candidate","BAKER, Jaiben Glenn","186","Queensland Greens","Flynn","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BAKER, Norman Frederick","29739","Rise Up Australia Party","La Trobe","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BAKER, Phillip Raymond","","Independent","New South Wales","NSW","N","0","0","0","6716","0"
"2019 Federal election","Candidate","BALDERSTONE, Michael","27916","Help End Marijuana Prohibition (HEMP) Party","New South Wales","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BALL, Jason David","34701","The Australian Greens - Victoria","Higgins","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BAMBRICK, Paul Robert","186","Queensland Greens","Capricornia","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BANDT, Adam Paul","34701","The Australian Greens - Victoria","Melbourne","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BANKS, Andrew Richard","38662","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","Ryan","QLD","N","0","0","0","3340","0"
"2019 Federal election","Candidate","BANKS, Julia Helen","","Independent","Flinders","VIC","N","0","146736","117","107942","0"
"2019 Federal election","Candidate","BARBER, Allan James","38662","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","Fadden","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BARBER, Russell Willis","36534","Love Australia or Leave","New South Wales","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BARKER, Neil Douglas","34701","The Australian Greens - Victoria","McEwen","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BARKER, Travis Lee","28769","Animal Justice Party","Casey","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BARNES, Alice Joy","34701","The Australian Greens - Victoria","Victoria","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BARNES, Heather","28769","Animal Justice Party","Warringah","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BARNETT, Tom","36676","Informed Medical Options Party","Richmond","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BARTLETT, Andrew","186","Queensland Greens","Brisbane","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BARTLETT, Yasmin Maree","27917","Sustainable Australia Party - Stop Overdevelopment / Corruption","Western Australia","WA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BASTER, Thomas John","52","Australian Labor Party (State of Queensland)","Bowman","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BATZKE, Yodie Wilma","38623","United Australia Party","Queensland","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BAUER, Russell John","211","Liberal National Party of Queensland","Oxley","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BAYLES, Michael Graham","97","The Greens NSW","Riverina","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BEAMER, Diane","50","Australian Labor Party (N.S.W. Branch)","Lindsay","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BEAZLEY, Hannah","53","Australian Labor Party (Western Australian Branch)","Swan","WA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BECK, Lance Gregory","37964","Australian Better Families","Tasmania","TAS","N","0","0","0","28902","0"
"2019 Federal election","Candidate","BEDFORD, Paul James","184","Shooters, Fishers and Farmers Party","Cowan","WA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BEERS, Zac Craig","52","Australian Labor Party (State of Queensland)","Flynn","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BELCHER, Euan Richard Gudjbahl","27917","Sustainable Australia Party - Stop Overdevelopment / Corruption","Fairfax","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BELL, Andrew Millin","43","Liberal Party of Australia (Victorian Division)","Cooper","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BELL, Angie Marion","211","Liberal National Party of Queensland","Moncrieff","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BELL, Barbara Emily","186","Queensland Greens","Bonner","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BELL, Sharon","154","Pauline Hanson's One Nation","Blair","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BELL, Tracey Leanne","52","Australian Labor Party (State of Queensland)","Moncrieff","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BELL, Wayne Lyndsay","","Independent","New South Wales","NSW","N","0","0","0","1000","0"
"2019 Federal election","Candidate","BELLENGER, Carol Ann","28769","Animal Justice Party","New South Wales","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BELL-HENSELIN, Tracey June","154","Pauline Hanson's One Nation","Lilley","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BENTLEY, Lisa Maree","38623","United Australia Party","Gellibrand","VIC","N","0","14800","12","6403","0"
"2019 Federal election","Candidate","BERNIER, Christine Pamela","38623","United Australia Party","New South Wales","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BERTRAM, Miranda Frida","186","Queensland Greens","Queensland","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BERTUCH, Susan Jane","38623","United Australia Party","Kennedy","QLD","N","0","3000","1","0","0"
"2019 Federal election","Candidate","BEST, Nicholas William","97","The Greens NSW","Lindsay","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BETTS, Kenneth Gordon","","Independent","Victoria","VIC","N","0","850","2","3350","0"
"2019 Federal election","Candidate","BEVERIDGE, Franklin Charles","211","Liberal National Party of Queensland","Kennedy","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BEVERIDGE, Susan Eleanore","","Independent","Flinders","VIC","N","0","5240","9","5500","0"
"2019 Federal election","Candidate","BEVIS, Karen Louise","28769","Animal Justice Party","Tasmania","TAS","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BILIC, Dennis","27917","Sustainable Australia Party - Stop Overdevelopment / Corruption","Hotham","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BILLI, Maurice","51","Australian Labor Party (Victorian Branch)","Wannon","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BILYK, Catryna Louise","27","Australian Labor Party (Tasmanian Branch)","Tasmania","TAS","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BINGHAM, Jarrod James","","Independent","Gorton","VIC","N","0","0","0","17844","0"
"2019 Federal election","Candidate","BIRD, Sharon Leah","50","Australian Labor Party (N.S.W. Branch)","Cunningham","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BIRKBECK, George Louis","28910","Katter's Australian Party (KAP)","Capricornia","QLD","N","0","0","0","3697","0"
"2019 Federal election","Candidate","BIRKETT, Scott Hensler","38662","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","Australian Capital Territory","ACT","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BISGROVE, Stephen Fredrick Eric","183","Liberal Democratic Party","Calare","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BLACKADDER, Samuel Roy","186","Queensland Greens","Herbert","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BLAIKLOCK, Jason","191","Christian Democratic Party (Fred Nile Group)","Warringah","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BLAKE, David Ronald","","Independent","Melbourne","VIC","N","0","0","0","2679","0"
"2019 Federal election","Candidate","BLAKE, Siobhan Isobel Robertson","49","National Party of Australia (WA) Inc","Western Australia","WA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BLAKESTER, Adam Foster","","Independent","New England","NSW","N","0","92529","225","95352","0"
"2019 Federal election","Candidate","BLEWITT, Wayne Alan","46","Liberal Party of Australia, NSW Division","Fowler","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BLOOMFIELD, Michael John","38623","United Australia Party","Wentworth","NSW","N","0","4500","1","0","0"
"2019 Federal election","Candidate","BLYTH, Stephan James","49","National Party of Australia (WA) Inc","Pearce","WA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOCK, Andrew","","Independent","Nicholls","VIC","N","0","120","2","40349","0"
"2019 Federal election","Candidate","BODDY, Max","197","Socialist Equality Party","Hunter","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOHM, Timothy","","Independent","Canberra","ACT","N","0","550","5","20000","0"
"2019 Federal election","Candidate","BOLLING, Roger William","191","Christian Democratic Party (Fred Nile Group)","Cook","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOLTON, Karin Alexandra","54","Australian Labor Party (South Australian Branch)","Grey","SA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOLTON, Susanne Alison","38671","Victorian Socialists","Wills","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BONDS, Stuart Thomas","154","Pauline Hanson's One Nation","Hunter","NSW","N","0","0","0","15000","0"
"2019 Federal election","Candidate","BORSAK, Wayne","184","Shooters, Fishers and Farmers Party","New South Wales","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOSHAMMER, Nerilee Jean","31","The Greens (WA) Inc","Forrest","WA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOSI, Riccardo Umberto Guerrino","37341","Australian Conservatives","New South Wales","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOSSIE, Craig John","30410","Centre Alliance","South Australia","SA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOSWELL, Marion","53","Australian Labor Party (Western Australian Branch)","Tangney","WA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOTHA, Trischa Gene","41","Liberal Party (W.A. Division) Inc","Western Australia","WA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOUNDY, Laurence Paul","32","Australian Greens","Sturt","SA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOURKE, Garry Mark","38623","United Australia Party","Lyne","NSW","N","0","4500","1","0","0"
"2019 Federal election","Candidate","BOURKE, William John","27917","Sustainable Australia Party - Stop Overdevelopment / Corruption","New South Wales","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOURNE, Anne Frances","32","Australian Greens","Mayo","SA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOURNE, Kathleen Margaret","44","Liberal Party of Australia (S.A. Division)","Spence","SA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOURNE, Scott Michael","49","National Party of Australia (WA) Inc","Durack","WA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOWDEN, Jennifer Anne","28","Democratic Labour Party","Victoria","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOWEN, Christopher Eyles Guy","50","Australian Labor Party (N.S.W. Branch)","McMahon","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOWER, Rodney Scott","38672","Independents CAN","New South Wales","NSW","N","0","1611","1","1611","0"
"2019 Federal election","Candidate","BOWRON, Ian John","154","Pauline Hanson's One Nation","Forde","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BOXALL, Jane","37962","WESTERN AUSTRALIA PARTY","Perth","WA","N","0","0","0","400","0"
"2019 Federal election","Candidate","BOYANTON, Timothy William","38662","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","Bruce","VIC","N","0","2370","2","130","0"
"2019 Federal election","Candidate","BRADDOCK, Andrew","32","Australian Greens","Fenner","ACT","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BRADLEY, Gregory John","37312","Australian Workers Party","Queensland","QLD","N","0","0","0","2500","0"
"2019 Federal election","Candidate","BRADLEY, Phillip John","97","The Greens NSW","Parramatta","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BRADLEY, Rodney William","37962","WESTERN AUSTRALIA PARTY","Western Australia","WA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BRAGG, Andrew James","46","Liberal Party of Australia, NSW Division","New South Wales","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BRAKEY, Craig Terence","","Independent","Braddon","TAS","N","0","40776","23","45936","0"
"2019 Federal election","Candidate","BRAZIER, Matthew Paul","37341","Australian Conservatives","Western Australia","WA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BREAKWELL, Kathryn Ann","28","Democratic Labour Party","Victoria","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BREMNER YOUNG, Sean Peter","28769","Animal Justice Party","Robertson","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BREWER, Kerri Jane","38623","United Australia Party","Gippsland","VIC","N","0","4500","1","900","0"
"2019 Federal election","Candidate","BREWSTER, Martin David","38623","United Australia Party","Queensland","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BRIESE, Tania","30356","Pirate Party Australia","Victoria","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BRINDLE, William James","51","Australian Labor Party (Victorian Branch)","Casey","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BRISKEY, Joanna Leigh","52","Australian Labor Party (State of Queensland)","Bonner","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BROADBENT, Russell Evan","43","Liberal Party of Australia (Victorian Division)","Monash","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BROADFOOT, Andrea Jane","30410","Centre Alliance","Grey","SA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BROCKMAN, William Edward Slade","41","Liberal Party (W.A. Division) Inc","Western Australia","WA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BROHMAN, Maureen","28769","Animal Justice Party","Dickson","QLD","N","0","0","0","235","0"
"2019 Federal election","Candidate","BROLLO, Darren Gene","28769","Animal Justice Party","Newcastle","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BROMLEY, Dale Geoffrey","38623","United Australia Party","Forrest","WA","N","0","4500","1","2400","0"
"2019 Federal election","Candidate","BROWN, Carol Louise","27","Australian Labor Party (Tasmanian Branch)","Tasmania","TAS","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BROWN, Geoffrey David","27917","Sustainable Australia Party - Stop Overdevelopment / Corruption","Lindsay","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BROWN, Jenny-Rebecca","38623","United Australia Party","Moreton","QLD","N","0","1500","1","0","0"
"2019 Federal election","Candidate","BROWN, Siobhann Linda","34001","Yellow Vest Australia","Victoria","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BRYAN, Matthew James","","Independent","Hughes","NSW","N","0","50","1","505","0"
"2019 Federal election","Candidate","BRYAR, Daniel Alexander","186","Queensland Greens","Wide Bay","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BUCHHOLZ, Scott Andrew","211","Liberal National Party of Queensland","Wright","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BUCKLEY, Gabriel Jon","183","Liberal Democratic Party","Queensland","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BUCKLEY, Sonia Louise","","Independent","Gippsland","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BUCKMAN, Christopher","38668","Australian Democrats","New South Wales","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BUDDE, Sharon Janene","29739","Rise Up Australia Party","Bendigo","VIC","N","0","0","0","645","0"
"2019 Federal election","Candidate","BULLEN, Kristopher","187","Online Direct Democracy - (Empowering the People!)","Queensland","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BUNYAN, Brendan Kelvin John","28910","Katter's Australian Party (KAP)","Dawson","QLD","N","0","0","0","9940","0"
"2019 Federal election","Candidate","BURGE, Karen Margaret","38670","The Great Australian Party","New South Wales","NSW","N","0","0","0","5375","0"
"2019 Federal election","Candidate","BURGOYNE, Joshua Roland","24","Country Liberal Party (NT)","Northern Territory","NT","N","0","0","0","1000","0"
"2019 Federal election","Candidate","BURKE, Anthony Stephen","50","Australian Labor Party (N.S.W. Branch)","Watson","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BURNESS, Lyle Ross","186","Queensland Greens","Kennedy","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BURNEY, Linda Jean","50","Australian Labor Party (N.S.W. Branch)","Barton","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BURNS, Joshua Solomon","51","Australian Labor Party (Victorian Branch)","Macnamara","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BURNSIDE, Julian William Kennedy","34701","The Australian Greens - Victoria","Kooyong","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BURNUM BURNUM, Marelle Fay","36676","Informed Medical Options Party","New South Wales","NSW","N","0","0","0","2000","0"
"2019 Federal election","Candidate","BURROW, Timothy John","38668","Australian Democrats","South Australia","SA","N","0","0","0","4924","0"
"2019 Federal election","Candidate","BURSTON, Brian","38623","United Australia Party","New South Wales","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BURSTON, Graham","38623","United Australia Party","Paterson","NSW","N","0","4500","1","0","0"
"2019 Federal election","Candidate","BURTON, Tracy Jo-Anne","186","Queensland Greens","Fisher","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BUTLAND, Colin James","","Independent","Pearce","WA","N","0","0","0","4430","0"
"2019 Federal election","Candidate","BUTLER, Deborah Joy","34719","Derryn Hinch's Justice Party","McEwen","VIC","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BUTLER, Mark Christopher","54","Australian Labor Party (South Australian Branch)","Hindmarsh","SA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BUTLER, Robert Hugh","188","Australian Citizens Party","New South Wales","NSW","N","0","0","0","2000","0"
"2019 Federal election","Candidate","BUTLER, Terri Megan","52","Australian Labor Party (State of Queensland)","Griffith","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","BUTTEL, Christopher Ernest","38623","United Australia Party","Lindsay","NSW","N","0","4500","1","1500","0"
"2019 Federal election","Candidate","BYATT, Mark Anthony","39","National Party of Australia - Victoria","Indi","VIC","Y","0","0","0","0","0"
